Frequency [Hz],Amplitude,X [mm],Y [mm]
5.4105,-3.6465,-3.8139,-4.4781
5.4491,-3.6274,-4.0769,-5.034
5.4878,-3.6297,-3.8026,-4.5862
5.5264,-3.6613,-4.5993,-4.6895
5.5651,-3.8366,-3.9033,-4.8222
5.6037,-3.6562,-4.0398,-4.2251
5.6424,-3.8457,-4.0304,-4.9062
5.681,-3.7312,-4.296,-4.1815
5.7197,-3.969,-3.6246,-4.5543
5.7583,-3.7589,-4.0984,-4.4056
5.797,-3.597,-4.8424,-4.6276
5.8356,-3.7177,-4.1158,-4.3805
5.8743,-3.7894,-3.9337,-4.6319
5.9129,-3.878,-3.8543,-4.4298
5.9515,-3.7639,-3.7833,-5.0563
5.9902,-3.6812,-4.133,-4.4334
6.0288,-3.7299,-4.1277,-4.6472
6.0675,-3.757,-4.2189,-4.2439
6.1061,-4.2743,-3.5484,-4.2709
6.1448,-3.7644,-4.0906,-4.5032
6.1834,-4.1557,-3.7129,-4.2911
6.2221,-3.9049,-4.2762,-4.4061
6.2607,-3.9913,-4.1367,-4.3027
6.2994,-3.6968,-3.9829,-4.6481
6.338,-3.7978,-4.0325,-4.866
6.3767,-3.7776,-4.1822,-4.9416
6.4153,-3.9467,-4.1199,-4.712
6.454,-3.8786,-4.2126,-4.4093
6.4926,-4.0548,-3.7302,-4.5603
6.5312,-4.1101,-4.3938,-4.3744
6.5699,-3.6787,-3.9242,-4.4175
6.6085,-3.9856,-4.2007,-4.3092
6.6472,-3.6975,-3.9348,-4.4107
6.6858,-3.6065,-4.0022,-4.5882
6.7245,-3.8676,-3.9619,-4.1831
6.7631,-3.7854,-3.9642,-4.6328
6.8018,-3.7808,-3.9278,-4.6604
6.8404,-3.8098,-4.2087,-4.487
6.8791,-3.9938,-4.374,-4.5962
6.9177,-3.7573,-4.1264,-4.5024
6.9564,-3.6519,-3.9398,-5.2631
6.995,-3.9469,-4.4596,-4.3938
7.0336,-3.7399,-4.5992,-4.3942
7.0723,-4.0831,-4.2214,-4.6608
7.1109,-3.7191,-3.6499,-5.2837
7.1496,-3.706,-3.9999,-4.5798
7.1882,-3.8204,-3.8453,-5.061
7.2269,-3.7632,-4.1889,-4.4567
7.2655,-3.6385,-4.4357,-4.3412
7.3042,-3.7531,-4.0275,-4.6886
7.3428,-3.806,-4.3006,-4.7634
7.3815,-3.5658,-3.7799,-4.1631
7.4201,-3.6181,-3.7351,-4.4492
7.4588,-3.7548,-3.9413,-4.1274
7.4974,-3.7029,-3.9003,-4.6284
7.5361,-3.6914,-4.0025,-4.4039
7.5747,-3.8683,-4.303,-4.8262
7.6133,-3.7296,-3.9625,-5.1868
7.652,-3.8135,-4.4039,-5.0016
7.6906,-3.8373,-4.0222,-4.9631
7.7293,-4.0278,-3.8594,-4.8503
7.7679,-3.9988,-3.9683,-4.5802
7.8066,-3.915,-4.397,-4.7165
7.8452,-3.7918,-4.6555,-4.6373
7.8839,-4.4047,-3.605,-4.7338
7.9225,-3.7966,-3.9511,-4.3136
7.9612,-3.9732,-4.2787,-4.5754
7.9998,-4.0154,-4.2334,-4.4499
8.0385,-3.6307,-3.7368,-4.5339
8.0771,-3.8031,-4.3374,-4.1828
8.1157,-3.9292,-5.0697,-4.619
8.1544,-3.6179,-3.6547,-4.7151
8.193,-3.6052,-3.6174,-4.5259
8.2317,-3.9852,-3.9251,-4.4549
8.2703,-4.0438,-3.6945,-4.2991
8.309,-3.9379,-4.3155,-4.5199
8.3476,-3.8637,-3.8456,-4.8246
8.3863,-4.0033,-4.0271,-4.719
8.4249,-4.1274,-4.2869,-4.8345
8.4636,-4.1694,-3.9042,-4.5952
8.5022,-4.0512,-3.7114,-4.6432
8.5409,-4.0268,-3.9892,-4.6533
8.5795,-3.8665,-3.8812,-4.6929
8.6182,-4.3064,-3.6978,-4.8313
8.6568,-3.9717,-4.1124,-4.9297
8.6954,-3.8064,-3.897,-4.8434
8.7341,-3.966,-4.2211,-4.5206
8.7727,-4.0263,-3.8305,-4.4453
8.8114,-4.3391,-3.9645,-4.7079
8.85,-4.034,-4.1432,-4.6184
8.8887,-4.0193,-3.9743,-4.6734
