Frequency [Hz],Amplitude,X [mm],Y [mm]
23.6516,-4.5362,-3.8818,-4.4606
23.6903,-4.3865,-3.8616,-4.6347
23.7289,-4.6883,-3.9109,-4.5346
23.7675,-4.2506,-3.9573,-4.9308
23.8062,-3.7907,-3.4874,-4.8239
23.8448,-4.2513,-3.6589,-4.8888
23.8835,-3.9287,-3.5447,-4.3792
23.9221,-3.8835,-3.547,-4.3918
23.9608,-4.0302,-4.1818,-4.3934
23.9994,-4.4189,-4.6887,-4.1642
24.0381,-3.9784,-3.6379,-4.7428
24.0767,-4.2358,-3.7953,-4.6351
24.1154,-4.0108,-3.8441,-4.2907
24.154,-4.0472,-3.9275,-4.6993
24.1927,-3.8458,-3.6628,-4.9099
24.2313,-4.2159,-4.241,-5.8566
24.2699,-4.3863,-3.954,-4.7917
24.3086,-4.0425,-3.6389,-4.2818
24.3472,-4.0904,-3.7659,-4.4124
24.3859,-3.9798,-3.7547,-4.6797
24.4245,-3.7559,-3.4891,-4.5673
24.4632,-4.2119,-3.7207,-4.4669
24.5018,-4.3685,-3.7757,-4.719
24.5405,-3.9031,-3.6176,-4.5663
24.5791,-4.1577,-3.6877,-4.6283
24.6178,-4.1874,-3.7687,-4.169
24.6564,-4.346,-3.7371,-4.7018
24.6951,-3.9955,-3.497,-4.3329
24.7337,-4.166,-3.6175,-4.6296
24.7724,-3.9065,-3.7036,-4.2607
24.811,-5.0121,-3.892,-4.8604
24.8496,-4.3747,-3.9892,-5.0277
24.8883,-4.0579,-3.8103,-4.1674
24.9269,-4.0007,-3.6547,-4.9129
24.9656,-4.0413,-3.7864,-4.3735
25.0042,-4.4049,-3.8433,-4.697
25.0429,-3.9555,-3.4082,-4.3325
25.0815,-4.3197,-4.1303,-4.3751
25.1202,-4.6645,-4.1723,-4.3262
25.1588,-4.2844,-3.9468,-4.6239
25.1975,-4.2622,-3.7005,-4.6797
25.2361,-4.4433,-3.7482,-4.7486
25.2748,-4.2431,-4.1603,-4.5521
25.3134,-4.187,-3.839,-4.7797
25.352,-3.8261,-3.3616,-4.3728
25.3907,-4.8123,-3.7428,-5.1069
25.4293,-3.9383,-3.7029,-4.6583
25.468,-4.0043,-3.6663,-4.3992
25.5066,-4.1829,-3.6656,-4.612
25.5453,-4.4192,-3.6287,-4.4447
25.5839,-3.9852,-3.6739,-4.6385
25.6226,-4.1613,-4.2408,-4.5711
25.6612,-3.9881,-3.7892,-4.5191
25.6999,-3.7856,-3.5329,-4.4614
25.7385,-3.9224,-3.8208,-4.2814
25.7772,-4.3344,-4.2987,-4.6715
25.8158,-3.9533,-3.6541,-4.4461
25.8545,-3.7236,-3.4614,-4.8638
25.8931,-4.2829,-3.7746,-4.9998
25.9317,-3.6928,-3.4471,-4.4405
25.9704,-3.8765,-3.5128,-4.583
26.009,-4.2624,-3.7313,-4.1112
26.0477,-3.9707,-3.6333,-4.4232
26.0863,-4.9438,-3.9662,-4.6363
26.125,-4.8348,-4.0356,-4.8183
26.1636,-4.7147,-3.8837,-4.4666
26.2023,-4.4941,-3.8838,-4.5885
26.2409,-4.0515,-3.8204,-4.4684
26.2796,-3.9859,-3.6307,-4.2872
26.3182,-3.8531,-3.6394,-4.5588
26.3569,-3.937,-3.7608,-4.3486
26.3955,-3.8394,-3.5142,-4.1334
26.4341,-3.7782,-3.5477,-4.2436
26.4728,-4.7859,-4.2347,-4.2378
26.5114,-4.2004,-3.6943,-4.5958
26.5501,-3.9528,-3.7409,-4.0359
26.5887,-3.9442,-3.7554,-4.3454
26.6274,-4.0171,-3.6692,-4.1379
26.666,-3.8462,-3.6039,-4.2193
26.7047,-3.9676,-3.7091,-4.2964
26.7433,-3.8865,-3.7791,-4.2059
26.782,-4.7766,-3.9504,-4.2059
26.8206,-5.0417,-4.0871,-3.824
26.8593,-3.9456,-3.6185,-4.4961
26.8979,-4.4884,-3.9441,-3.8907
26.9366,-4.1616,-3.9728,-4.2029
26.9752,-3.8691,-3.5646,-3.7399
27.0138,-5.1279,-3.9257,-4.2179
27.0525,-4.1927,-3.8884,-4.2461
27.0911,-4.2839,-3.9955,-3.9752
27.1298,-4.1513,-3.5994,-3.6732
27.1684,-3.6248,-3.2316,-3.666
27.2071,-3.8378,-3.5152,-3.806
27.2457,-3.9258,-3.636,-4.5048
27.2844,-4.071,-3.6888,-4.1387
27.323,-4.0561,-3.5914,-3.9781
27.3617,-4.3413,-3.8152,-4.2832
27.4003,-3.8439,-3.5649,-4.644
27.439,-4.392,-3.7348,-3.7793
27.4776,-3.8993,-3.5676,-4.0029
27.5162,-4.5378,-3.9376,-3.9305
27.5549,-3.9156,-3.7113,-3.7089
27.5935,-4.9121,-3.7763,-3.9746
27.6322,-4.0996,-3.7429,-4.2104
27.6708,-4.2509,-4.1666,-4.356
27.7095,-4.2065,-3.6522,-3.8261
27.7481,-4.7003,-3.8857,-4.2644
27.7868,-3.8418,-3.5079,-4.043
27.8254,-3.9921,-3.5072,-3.743
27.8641,-4.71,-4.0362,-3.8072
27.9027,-4.1361,-3.9194,-4.1251
27.9414,-4.2921,-3.7034,-5.0281
27.98,-4.178,-3.744,-4.0247
28.0187,-4.1085,-4.0884,-5.3691
28.0573,-3.8008,-3.5769,-3.8238
28.0959,-4.1818,-3.7766,-4.3179
28.1346,-4.8926,-4.031,-3.8382
28.1732,-4.2413,-3.7768,-4.2306
28.2119,-4.0525,-3.9194,-3.8825
28.2505,-4.1787,-4.2043,-4.4232
28.2892,-4.0381,-3.6471,-3.9889
28.3278,-4.1803,-3.8754,-4.0643
28.3665,-4.0267,-3.7782,-4.1946
28.4051,-4.8814,-3.9499,-4.2281
28.4438,-3.7764,-3.4359,-3.932
28.4824,-4.778,-4.2808,-4.2682
28.5211,-4.2489,-3.7482,-4.0192
28.5597,-4.0663,-3.9353,-4.1975
28.5983,-3.859,-3.6879,-4.1998
28.637,-4.1305,-4.0787,-4.1289
28.6756,-4.0478,-3.829,-4.4851
28.7143,-4.0639,-3.6558,-4.52
28.7529,-3.9175,-3.6575,-4.0767
28.7916,-4.4828,-4.4506,-4.8643
28.8302,-4.2499,-3.986,-4.7495
28.8689,-4.1521,-3.8208,-4.3263
28.9075,-4.7366,-4.2551,-4.6599
28.9462,-4.1173,-3.9973,-4.2981
28.9848,-4.1569,-3.9776,-4.2479
29.0235,-4.3495,-3.9142,-4.1349
29.0621,-3.802,-3.5437,-3.9893
29.1007,-4.0234,-3.7679,-4.3734
29.1394,-3.8999,-3.5404,-3.9814
29.178,-4.0596,-3.6917,-4.1254
29.2167,-4.1943,-3.7423,-4.4298
29.2553,-4.0399,-3.6486,-4.7689
29.294,-4.0775,-4.0143,-4.2969
29.3326,-3.8866,-3.4338,-3.8929
29.3713,-3.9306,-3.6971,-4.7644
29.4099,-4.231,-4.0125,-4.0834
29.4486,-3.9764,-3.512,-4.4524
29.4872,-4.2051,-3.7518,-4.6663
29.5259,-4.8531,-3.943,-3.9495
29.5645,-4.1648,-3.8102,-4.7433
29.6032,-4.1593,-3.8626,-4.033
29.6418,-3.9358,-3.7119,-4.5434
29.6804,-3.991,-3.82,-4.1952
29.7191,-4.1177,-3.6767,-4.1382
29.7577,-4.3074,-4.4668,-4.2321
29.7964,-4.0334,-3.8119,-4.3768
29.835,-4.1883,-3.8819,-3.9898
29.8737,-4.3508,-3.6714,-4.0682
29.9123,-4.1344,-3.9333,-4.4046
29.951,-3.9163,-3.6323,-3.8638
29.9896,-3.2624,-2.9186,-3.2657
30.0283,-3.7616,-3.4796,-4.035
30.0669,-3.9446,-3.6076,-4.2525
30.1056,-4.1381,-4.0507,-4.4515
30.1442,-4.0983,-4.0468,-4.3083
30.1828,-3.9452,-3.7887,-4.6065
30.2215,-3.9501,-3.848,-4.4192
30.2601,-4.3659,-4.1847,-4.8268
30.2988,-4.1222,-3.8374,-4.6983
30.3374,-4.2328,-3.8492,-4.7906
30.3761,-4.1719,-3.9171,-4.441
30.4147,-4.1895,-3.8121,-4.6276
30.4534,-4.1803,-4.3962,-4.7581
30.492,-4.3901,-4.5091,-4.2912
30.5307,-4.1023,-3.9545,-4.5178
30.5693,-4.0532,-3.9921,-4.8623
30.608,-3.9751,-3.8172,-4.6413
30.6466,-4.294,-4.299,-4.2914
30.6853,-4.3702,-4.5661,-4.4382
30.7239,-4.341,-4.0463,-5.0623
30.7625,-4.118,-3.8094,-4.1938
30.8012,-4.7327,-3.9735,-4.3699
30.8398,-4.1366,-3.7269,-4.5714
30.8785,-4.119,-3.8433,-4.6833
30.9171,-4.0328,-4.0185,-4.7104
30.9558,-3.9848,-3.8268,-5.2935
30.9944,-4.1175,-4.1843,-4.6771
31.0331,-4.4319,-3.9577,-4.7069
31.0717,-4.3221,-4.114,-4.6825
31.1104,-4.0478,-3.9129,-4.2288
31.149,-4.2375,-4.0011,-4.7209
31.1877,-4.232,-4.1336,-4.7366
31.2263,-4.065,-3.8646,-4.1622
31.2649,-4.1448,-4.0082,-4.5659
31.3036,-4.3982,-4.6174,-5.012
31.3422,-4.6927,-3.9929,-4.8571
31.3809,-4.0895,-3.7079,-4.7635
31.4195,-4.0546,-3.9743,-4.7562
31.4582,-4.1695,-3.6782,-4.154
31.4968,-4.2758,-3.7332,-4.4446
31.5355,-4.0473,-3.8662,-4.274
31.5741,-4.1863,-3.8839,-4.3785
31.6128,-3.9827,-3.7696,-4.1714
31.6514,-4.7114,-4.0675,-4.6743
31.6901,-4.1357,-3.8607,-4.4389
31.7287,-4.2201,-4.0726,-4.8036
31.7674,-4.8407,-3.9044,-4.5262
31.806,-4.124,-4.2924,-4.6954
31.8446,-3.9889,-3.923,-4.3016
31.8833,-4.1102,-3.7503,-4.6107
31.9219,-4.1576,-3.8433,-4.8335
31.9606,-4.5612,-4.3449,-4.4114
31.9992,-4.8584,-4.0605,-4.2703
32.0379,-4.2566,-3.669,-4.8075
32.0765,-4.0835,-3.8266,-4.4512
32.1152,-4.45,-3.8731,-4.3164
32.1538,-4.4425,-3.8692,-4.4455
32.1925,-4.2038,-3.9111,-4.5454
32.2311,-4.1364,-3.6761,-4.8877
32.2698,-4.3603,-3.829,-4.6157
32.3084,-4.0694,-3.7041,-4.4512
32.347,-4.1646,-3.8723,-4.3366
32.3857,-4.5049,-4.0192,-4.4204
32.4243,-4.5231,-3.9686,-4.6959
32.463,-4.1896,-4.1971,-4.4338
32.5016,-3.9839,-3.8752,-4.5287
32.5403,-4.1668,-4.0747,-4.2154
32.5789,-4.1658,-3.8453,-4.8931
32.6176,-4.0482,-3.8102,-4.6803
32.6562,-4.1456,-3.9241,-4.1512
32.6949,-4.4478,-4.0956,-4.4789
32.7335,-4.5591,-3.758,-4.6545
32.7722,-4.9837,-4.358,-4.3127
32.8108,-4.4003,-3.9208,-4.3644
32.8495,-4.1927,-4.0015,-4.1128
32.8881,-4.1427,-4.0241,-4.1442
32.9267,-4.1926,-3.8424,-4.4093
32.9654,-3.9915,-3.7027,-4.4762
33.004,-4.5909,-3.9266,-5.2053
33.0427,-4.4693,-4.108,-4.5866
33.0813,-4.0857,-4.0808,-4.5499
33.12,-4.8332,-4.1219,-4.292
33.1586,-4.8578,-4.0556,-4.6365
33.1973,-3.9142,-3.5164,-3.9229
33.2359,-3.9963,-3.645,-4.038
33.2746,-4.6029,-4.1032,-4.2601
33.3132,-4.0892,-3.9838,-4.1712
33.3519,-4.1545,-3.9498,-4.0807
33.3905,-4.5958,-4.0096,-4.1071
33.4291,-4.097,-4.0335,-4.1923
33.4678,-4.6289,-4.0869,-4.4909
33.5064,-4.5513,-3.9965,-4.4121
33.5451,-4.627,-4.0444,-4.1148
33.5837,-4.0996,-3.707,-4.0651
33.6224,-4.3026,-3.8735,-4.0097
33.661,-4.3575,-3.8669,-4.0523
33.6997,-4.6336,-4.0769,-4.6568
33.7383,-5.0341,-3.9426,-4.1984
33.777,-4.2752,-4.0868,-4.6886
33.8156,-4.45,-4.5361,-4.4386
33.8543,-4.8344,-4.0225,-4.1023
33.8929,-4.0472,-3.6453,-4.404
33.9316,-4.0944,-4.1135,-3.9836
33.9702,-4.3065,-3.9894,-4.4828
34.0088,-4.3447,-4.3781,-4.1856
34.0475,-4.8426,-4.3405,-4.3964
34.0861,-4.0678,-3.7538,-3.8042
34.1248,-4.0672,-3.7587,-4.5008
34.1634,-4.1715,-3.7635,-4.0745
34.2021,-4.0882,-3.8182,-4.3014
34.2407,-4.654,-4.2959,-3.9546
34.2794,-4.2547,-4.0041,-4.2169
34.318,-4.8468,-4.2149,-4.3616
34.3567,-4.15,-3.8958,-4.1601
34.3953,-4.1047,-3.74,-4.1661
34.434,-4.1858,-3.7471,-4.2207
34.4726,-4.1991,-3.8701,-4.7757
34.5112,-4.457,-4.3656,-4.3918
34.5499,-4.4067,-4.5819,-4.1713
34.5885,-4.2696,-4.3064,-4.4231
34.6272,-4.2887,-3.9204,-4.2135
34.6658,-4.0553,-3.6614,-3.9427
34.7045,-4.6081,-4.1526,-3.8462
34.7431,-3.9136,-3.6839,-4.8454
34.7818,-4.1334,-4.2378,-3.8862
34.8204,-4.4271,-4.2181,-4.2571
34.8591,-4.4597,-3.8644,-4.2623
34.8977,-4.2055,-3.8239,-3.9851
34.9364,-4.6044,-3.8482,-4.655
34.975,-4.2014,-3.6735,-4.3437
35.0137,-4.1094,-3.9179,-4.2696
35.0523,-4.2466,-3.8094,-4.5497
35.0909,-5.3178,-4.2486,-3.9512
35.1296,-4.0541,-4.0705,-4.0602
35.1682,-3.7772,-3.3978,-3.8214
35.2069,-4.2828,-4.1067,-4.2218
35.2455,-4.0857,-3.8707,-4.7683
35.2842,-3.8016,-3.5092,-3.9329
35.3228,-4.2499,-3.7469,-4.3891
35.3615,-4.133,-3.7059,-4.1094
35.4001,-3.9321,-3.6171,-4.6683
35.4388,-5.8771,-4.5587,-4.0803
35.4774,-4.101,-3.7875,-4.4892
35.5161,-4.3943,-3.9764,-4.6741
35.5547,-4.4954,-3.8443,-4.1963
35.5933,-4.3961,-3.7712,-4.4591
35.632,-4.0898,-3.6834,-4.2863
35.6706,-4.0481,-3.5991,-4.0864
35.7093,-3.8976,-3.4561,-4.3755
35.7479,-3.8946,-3.437,-4.6773
35.7866,-4.23,-3.7828,-4.3519
35.8252,-4.2871,-3.9956,-4.4845
35.8639,-3.8871,-3.5183,-4.5674
35.9025,-4.841,-3.9803,-4.6018
35.9412,-4.3666,-3.7176,-5.0505
35.9798,-4.5928,-4.1419,-4.8743
36.0185,-4.15,-3.9718,-4.0587
36.0571,-4.1961,-3.9035,-4.2553
36.0958,-4.45,-4.8643,-4.3631
36.1344,-4.4584,-4.4035,-4.5737
36.173,-4.0385,-3.5473,-4.4368
36.2117,-4.1841,-3.7808,-4.2553
36.2503,-4.5455,-3.9584,-4.1881
36.289,-4.1784,-3.6999,-4.2946
36.3276,-3.9056,-3.5333,-5.1603
36.3663,-3.9859,-3.7146,-4.3225
36.4049,-4.442,-3.8018,-4.8681
36.4436,-4.1916,-3.7633,-4.5087
36.4822,-4.0901,-3.7537,-4.7102
36.5209,-4.3693,-4.2286,-4.7484
36.5595,-3.9403,-3.6962,-4.8057
36.5982,-4.1652,-3.8661,-4.4133
36.6368,-4.2735,-3.9698,-5.1976
36.6754,-4.1149,-3.8582,-4.8172
36.7141,-3.918,-3.6524,-4.4602
36.7527,-4.1049,-3.8145,-4.5356
36.7914,-3.9365,-3.6059,-4.8681
36.83,-4.0164,-3.7022,-4.666
36.8687,-4.1835,-3.9593,-4.6033
36.9073,-4.0139,-3.689,-5.2389
36.946,-4.1519,-3.7738,-4.7826
36.9846,-4.0739,-3.7322,-4.5422
37.0233,-3.7768,-3.5307,-4.5289
37.0619,-3.932,-3.675,-4.7113
37.1006,-4.1308,-3.7973,-4.8642
37.1392,-3.7558,-3.4948,-4.5214
37.1779,-4.506,-4.0334,-4.4074
37.2165,-4.366,-4.6126,-4.673
37.2551,-4.242,-4.1662,-4.8025
37.2938,-4.2934,-4.0261,-4.6265
37.3324,-4.1822,-3.8514,-4.2957
37.3711,-4.0562,-3.9072,-4.84
37.4097,-4.0004,-3.7428,-4.584
37.4484,-4.042,-3.7896,-4.4382
37.487,-4.3564,-3.763,-4.4286
37.5257,-4.1063,-3.6982,-4.3112
37.5643,-4.0526,-3.7485,-4.2452
37.603,-4.3613,-3.7844,-4.2856
37.6416,-3.9731,-3.6941,-4.2541
37.6803,-3.9772,-3.7174,-4.5232
37.7189,-4.0402,-3.8545,-4.5103
37.7575,-4.3549,-4.0948,-4.7652
37.7962,-4.2999,-4.0385,-4.563
37.8348,-4.3434,-4.9349,-4.5345
37.8735,-3.9487,-3.7723,-4.4953
37.9121,-4.019,-3.6651,-4.6625
37.9508,-4.1095,-3.9821,-4.3532
37.9894,-3.731,-3.3916,-4.3169
38.0281,-4.3401,-3.9731,-4.2161
38.0667,-4.1502,-3.7137,-4.123
38.1054,-3.9587,-3.7398,-4.1121
38.144,-4.3534,-4.094,-4.1601
38.1827,-4.3412,-4.1433,-4.3705
38.2213,-4.0481,-3.5685,-4.4698
38.26,-4.6356,-4.3778,-5.3676
38.2986,-4.487,-3.9114,-4.0596
38.3372,-4.1542,-4.1071,-4.756
38.3759,-4.0467,-3.9268,-4.2959
38.4145,-3.9033,-3.6164,-4.5004
38.4532,-4.1177,-3.6634,-4.4992
38.4918,-4.8842,-4.2164,-4.2164
38.5305,-4.281,-4.0982,-4.4207
38.5691,-4.2746,-3.9552,-4.558
38.6078,-4.1347,-3.9133,-4.2296
38.6464,-4.2155,-3.9304,-4.4907
38.6851,-4.2435,-4.216,-4.7766
38.7237,-4.8789,-4.0334,-4.3943
38.7624,-4.8719,-4.3799,-4.3421
38.801,-4.5648,-4.0247,-4.1725
38.8396,-4.0666,-3.6578,-4.35
38.8783,-4.2633,-4.3221,-4.829
38.9169,-4.0085,-3.7759,-4.3975
38.9556,-4.4187,-3.8249,-5.0074
38.9942,-5.0252,-4.0033,-4.9099
39.0329,-4.6292,-5.1335,-4.1843
39.0715,-4.472,-3.9565,-4.2284
39.1102,-4.1294,-4.0081,-4.5214
39.1488,-4.6207,-4.2954,-4.3933
39.1875,-4.2912,-4.3843,-4.5243
39.2261,-4.191,-3.9867,-4.3913
39.2648,-4.3251,-3.769,-4.373
39.3034,-4.1267,-3.7588,-4.2787
39.342,-4.1347,-3.8761,-4.6336
39.3807,-4.3923,-4.1667,-4.4794
39.4193,-4.4135,-4.1588,-4.2532
39.458,-5.0582,-4.588,-4.3489
39.4966,-4.6305,-4.351,-4.2908
39.5353,-4.7629,-4.0151,-4.2926
39.5739,-4.586,-4.0075,-4.5323
39.6126,-4.1681,-4.0822,-5.0791
39.6512,-4.8141,-4.1177,-4.7958
39.6899,-4.1029,-3.9845,-4.5702
39.7285,-4.154,-3.9574,-4.4326
39.7672,-4.5267,-4.2744,-4.2437
39.8058,-4.1346,-3.8322,-4.5413
39.8445,-4.0607,-3.8617,-4.4684
39.8831,-4.1822,-3.7284,-4.5013
39.9217,-4.4508,-3.8736,-4.432
39.9604,-4.0251,-3.7478,-3.8659
39.999,-3.8495,-3.5329,-3.6808
40.0377,-4.3288,-4.0049,-4.2615
40.0763,-3.8533,-3.5623,-4.8083
40.115,-4.0229,-3.6877,-4.4908
40.1536,-4.8227,-4.5017,-4.322
40.1923,-4.382,-3.9902,-4.5908
40.2309,-4.7082,-4.888,-4.3627
40.2696,-4.1899,-3.7974,-4.4044
40.3082,-4.1543,-3.9822,-4.277
40.3469,-4.1169,-3.8544,-4.7417
40.3855,-4.4227,-4.2973,-4.5088
40.4241,-4.6132,-3.9403,-4.5382
40.4628,-4.5651,-4.342,-4.812
40.5014,-4.7402,-4.0643,-4.9844
40.5401,-4.4653,-3.9208,-4.954
40.5787,-3.9659,-3.7786,-4.6588
40.6174,-4.4239,-4.2461,-4.875
40.656,-4.0781,-3.7313,-4.7859
40.6947,-4.7855,-4.4979,-4.5687
40.7333,-4.4167,-4.1008,-4.5368
40.772,-4.2587,-3.8392,-4.4232
40.8106,-4.0626,-3.7933,-4.5004
40.8493,-4.509,-4.0503,-4.5012
40.8879,-4.6656,-3.9006,-4.7695
40.9266,-4.3548,-4.1791,-4.3271
40.9652,-3.8662,-3.585,-4.9288
41.0038,-4.3051,-4.6821,-5.0089
41.0425,-4.2964,-3.8791,-4.7544
41.0811,-4.7624,-3.9756,-4.5702
41.1198,-4.2647,-4.0253,-4.8312
41.1584,-4.7334,-4.056,-4.3655
41.1971,-4.4872,-4.094,-5.0051
41.2357,-4.576,-4.0812,-4.5933
41.2744,-4.359,-4.153,-4.4158
41.313,-3.9192,-3.6731,-4.4631
41.3517,-4.352,-4.0165,-4.3881
41.3903,-4.3298,-4.3484,-5.1697
41.429,-4.4182,-4.3166,-4.5904
41.4676,-4.1274,-4.0327,-4.5893
41.5062,-4.0957,-3.8537,-4.4505
41.5449,-4.0597,-3.9465,-4.418
41.5835,-4.0061,-3.6808,-4.6164
41.6222,-4.3247,-3.9711,-4.6052
41.6608,-4.4592,-4.1469,-4.7228
41.6995,-4.8539,-4.4321,-4.1674
41.7381,-4.418,-4.2084,-4.6671
41.7768,-4.1865,-3.9389,-4.5096
41.8154,-4.3338,-4.1124,-4.6428
41.8541,-4.1719,-4.2384,-4.5236
41.8927,-4.1869,-4.1453,-4.1017
41.9314,-4.2211,-4.5031,-4.1894
41.97,-4.6042,-4.3711,-4.9533
42.0087,-4.2018,-3.9498,-5.0768
42.0473,-4.3476,-3.7751,-4.4542
42.0859,-4.4215,-4.4936,-4.9369
42.1246,-4.0169,-3.7654,-4.3341
42.1632,-4.2444,-3.964,-4.6927
42.2019,-4.0209,-3.8135,-4.5072
42.2405,-4.1337,-3.7586,-4.39
42.2792,-4.4619,-3.9048,-4.414
42.3178,-4.4528,-4.568,-4.3085
42.3565,-4.3984,-4.0283,-4.3112
42.3951,-4.2131,-3.9718,-4.2823
42.4338,-4.0848,-3.952,-4.4955
42.4724,-4.1294,-3.727,-4.4191
42.5111,-4.1329,-3.9823,-4.4962
42.5497,-4.5078,-5.0642,-4.6294
42.5883,-4.5495,-4.0002,-4.6275
42.627,-4.5137,-4.1206,-4.07
42.6656,-4.47,-4.2449,-5.2922
42.7043,-4.3061,-4.1372,-4.4263
42.7429,-4.5096,-3.855,-4.3905
42.7816,-4.6621,-4.3049,-4.8227
42.8202,-4.0626,-3.7801,-4.5275
42.8589,-4.2338,-3.7962,-4.6908
42.8975,-4.5471,-5.54,-4.5956
42.9362,-4.0491,-3.7404,-4.3907
42.9748,-4.4504,-3.9643,-5.1085
43.0135,-4.162,-3.6548,-5.3216
43.0521,-4.0855,-3.7917,-4.4118
43.0908,-4.127,-3.9199,-5.015
43.1294,-5.2225,-4.5471,-4.6191
43.168,-4.3621,-3.8918,-4.3051
43.2067,-3.9391,-3.6717,-4.5652
43.2453,-4.5056,-4.1217,-4.3928
43.284,-5.362,-4.3748,-4.858
43.3226,-4.1213,-3.9181,-4.5038
43.3613,-4.0429,-3.7508,-5.0557
43.3999,-4.4849,-4.6768,-4.6236
43.4386,-4.0045,-3.6336,-4.4599
43.4772,-4.2577,-4.1961,-4.2784
43.5159,-4.3207,-4.0303,-4.3032
43.5545,-4.357,-3.9345,-4.9035
43.5932,-4.0521,-3.9083,-4.5057
43.6318,-4.0737,-3.7259,-4.3066
43.6704,-4.1948,-3.8518,-4.8299
43.7091,-4.3063,-3.869,-4.4607
43.7477,-4.5711,-4.0036,-4.3832
43.7864,-4.4964,-4.1485,-4.5661
43.825,-4.4447,-4.6131,-4.4363
43.8637,-4.9801,-4.7512,-4.6335
43.9023,-4.0,-3.6511,-4.6818
43.941,-4.3197,-4.2448,-4.708
43.9796,-4.5829,-4.1196,-4.4807
44.0183,-4.0327,-3.7957,-5.5066
44.0569,-4.2248,-3.9031,-5.1119
44.0956,-4.2105,-3.9028,-4.6422
44.1342,-4.0574,-3.7357,-4.9598
44.1729,-4.4311,-3.8368,-4.3036
44.2115,-4.2555,-4.0472,-4.5679
44.2501,-4.521,-4.7318,-4.8452
44.2888,-5.0275,-4.4049,-5.0012
44.3274,-4.2709,-3.9962,-4.7559
44.3661,-4.7423,-4.1486,-4.5151
44.4047,-4.4748,-4.8627,-4.687
44.4434,-4.3302,-4.2083,-4.3595
44.482,-4.0335,-3.8563,-4.2977
44.5207,-5.2088,-4.2499,-4.5117
44.5593,-4.4649,-4.0974,-4.5093
44.598,-4.1539,-3.9085,-4.7031
44.6366,-4.3554,-4.2253,-4.6465
44.6753,-4.2969,-4.2904,-4.5478
44.7139,-4.4048,-4.3271,-4.6409
44.7525,-4.2066,-4.1141,-4.8419
44.7912,-4.7954,-4.0495,-4.3354
44.8298,-4.3161,-3.7653,-4.2827
44.8685,-4.6488,-4.1862,-4.2214
44.9071,-4.1678,-3.7413,-4.5722
44.9458,-4.6,-4.3448,-4.7167
44.9844,-4.3461,-3.8268,-4.7387
45.0231,-4.6448,-4.5472,-5.0524
45.0617,-4.448,-5.4028,-4.5546
45.1004,-4.3324,-3.7767,-4.9815
45.139,-4.4003,-4.6366,-4.5399
45.1777,-4.178,-3.8656,-4.5611
45.2163,-4.2778,-3.9188,-5.0657
45.255,-4.7751,-5.108,-4.5655
45.2936,-4.887,-4.4834,-4.5249
45.3322,-4.5599,-4.5172,-5.0289
45.3709,-4.356,-4.3156,-4.5259
45.4095,-5.0726,-4.2437,-4.4506
45.4482,-4.8606,-3.9616,-4.7939
45.4868,-4.1647,-3.9265,-4.5368
45.5255,-4.7427,-4.3197,-4.5273
45.5641,-4.2649,-4.3877,-4.5462
45.6028,-4.3395,-4.1964,-4.7097
45.6414,-4.2881,-4.1265,-4.6733
45.6801,-4.8512,-4.7775,-4.5533
45.7187,-4.3255,-4.385,-4.9376
45.7574,-4.3544,-4.0656,-4.4915
45.796,-4.6975,-4.2029,-4.9491
45.8346,-4.6265,-4.9066,-4.5563
45.8733,-4.9257,-4.4598,-4.5681
45.9119,-4.0611,-3.8875,-4.458
45.9506,-4.319,-3.991,-4.6195
45.9892,-4.2385,-4.1091,-4.3684
46.0279,-4.102,-3.7859,-4.6694
46.0665,-5.0699,-4.3738,-5.1525
46.1052,-4.4064,-3.922,-4.7542
46.1438,-4.3646,-4.1898,-4.5892
46.1825,-4.4695,-4.0317,-4.7071
46.2211,-4.3829,-4.23,-5.625
46.2598,-4.884,-4.0236,-4.7069
46.2984,-4.1349,-3.9638,-4.3987
46.3371,-4.3671,-3.9242,-4.7742
46.3757,-4.2107,-3.9891,-4.5821
46.4143,-4.3862,-4.1898,-4.3725
46.453,-4.2929,-3.9722,-4.8821
46.4916,-4.5836,-4.397,-4.7964
46.5303,-4.2443,-3.9441,-4.6686
46.5689,-4.2714,-4.0398,-4.5915
46.6076,-4.5493,-4.1636,-4.8228
46.6462,-4.5137,-4.0401,-4.4923
46.6849,-4.1729,-4.3509,-4.598
46.7235,-4.2891,-3.9676,-4.8571
46.7622,-4.4305,-4.095,-4.4742
46.8008,-4.2049,-3.8584,-4.8869
46.8395,-4.3817,-3.8969,-4.7755
46.8781,-4.296,-4.2571,-4.5257
46.9167,-4.4567,-4.413,-4.6089
46.9554,-4.377,-4.1522,-4.7521
46.994,-4.7721,-4.4191,-4.2007
47.0327,-4.5326,-4.6585,-4.9625
47.0713,-4.4036,-3.9371,-4.7668
47.11,-4.6815,-4.3586,-4.6265
47.1486,-4.3553,-4.1102,-4.4378
47.1873,-4.9563,-4.4828,-4.4083
47.2259,-4.4906,-4.2619,-4.8958
47.2646,-4.727,-5.0113,-4.809
47.3032,-4.8271,-3.8908,-4.4448
47.3419,-4.5633,-4.7519,-4.5741
47.3805,-4.7338,-4.6134,-4.7556
47.4192,-4.293,-3.7422,-5.1668
47.4578,-4.6763,-4.1207,-4.395
47.4964,-4.196,-3.8431,-4.5551
